Charge,Date,BIN,Uoc,Isc,Rser,Rsh,FF,EFF,IRev1,IRev2
5345803-S04-156I3-A-L-B-190,20.02.2020-02:29:31,2.10000000e+01,6.40211046e-01,8.86569977e+00,2.02091620e-03,6.70750061e+02,8.04822464e+01,1.85937290e+01,7.89156854e-02,3.30707192e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:29:33,2.00000000e+01,6.41592920e-01,8.86303425e+00,1.60618406e-03,5.82202576e+02,8.03904114e+01,1.86070023e+01,7.62246475e-02,3.09836268e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:29:35,1.00000000e+00,6.38083100e-01,8.82145977e+00,1.81047036e-03,7.33287415e+02,8.03284149e+01,1.84042072e+01,3.95137668e-02,7.23560527e-02
5345803-S04-156I3-A-L-B-190,20.02.2020-02:29:37,2.00000000e+01,6.43293202e-01,8.89931297e+00,2.24743201e-03,4.49810699e+02,8.01318893e+01,1.86724377e+01,5.79069257e-02,8.96497741e-02
5345803-S04-156I3-A-L-B-190,20.02.2020-02:29:39,2.00000000e+00,6.36436582e-01,8.81988621e+00,1.70277373e-03,2.03762375e+02,7.99259720e+01,1.82614937e+01,2.53285766e-01,9.56553340e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:29:41,9.00000000e+00,6.44223988e-01,8.93671227e+00,1.83348823e-03,4.88516541e+02,8.03399963e+01,1.88268051e+01,6.77958876e-02,1.23119473e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:29:43,8.00000000e+00,6.45520031e-01,8.95851898e+00,1.80856779e-03,6.37715271e+02,8.03759460e+01,1.89191780e+01,4.18795086e-02,7.29321390e-02
5345803-S04-156I3-A-L-B-190,20.02.2020-02:29:45,9.00000000e+00,6.44130468e-01,8.95382786e+00,2.12509464e-03,3.35442596e+02,8.03294907e+01,1.88576603e+01,9.32134390e-02,1.36560321e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:29:47,1.90000000e+01,6.43761814e-01,8.92849255e+00,1.60136877e-03,3.46582306e+02,8.03344116e+01,1.87946911e+01,7.89910555e-02,1.27299160e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:29:49,1.90000000e+01,6.41223133e-01,8.91122627e+00,2.16920744e-03,3.71904419e+02,8.04684143e+01,1.87155361e+01,1.09229870e-01,2.35262111e-01
